parent_name,parent_entity_id,parent_entity_type,parent_lei,parent_permid,parent_registration_country,parent_headquarter_country,overall_share_percent,ownership_path,ownership_path_datasource_ids,immediate_source_owner,immediate_source_owner_entity_id,source_operator,source_operator_id,source_id,source_name,source_sector,source_subsector
,,,,,,,,,,,,Air India Express,E100002014293,3171968,Devi Ahilyabai Holkar Airport,transportation,domestic-aviation
,,,,,,,,,,,,Alliance Air,E100002014360,3171968,Devi Ahilyabai Holkar Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3171968,Devi Ahilyabai Holkar Airport,transportation,domestic-aviation
,,,,,,,,,,,,Vistara,E100002015043,3171968,Devi Ahilyabai Holkar Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India,E100002014292,3171248,Dibrugarh Airport,transportation,domestic-aviation
,,,,,,,,,,,,Alliance Air,E100002014360,3171248,Dibrugarh Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3171248,Dibrugarh Airport,transportation,domestic-aviation
,,,,,,,,,,,,Vistara,E100002015043,3171248,Dibrugarh Airport,transportation,domestic-aviation
,,,,,,,,,,,,flybig,E100002014579,3171248,Dibrugarh Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India,E100002014292,3171289,Dimapur Airport,transportation,domestic-aviation
,,,,,,,,,,,,Alliance Air,E100002014360,3171289,Dimapur Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3171289,Dimapur Airport,transportation,domestic-aviation
,,,,,,,,,,,,Alliance Air,E100002014360,3171259,Diu Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3171259,Diu Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India,E100002014292,3173101,Dr. Babasaheb Ambedkar International Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3173101,Dr. Babasaheb Ambedkar International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Star Air,E100002014935,3173101,Dr. Babasaheb Ambedkar International Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3171603,Gaya Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3171620,Gondia Airport,transportation,domestic-aviation
,,,,,,,,,,,,Akasa Air,E100002014348,3171706,Gorakhpur Airport,transportation,domestic-aviation
,,,,,,,,,,,,Alliance Air,E100002014360,3171706,Gorakhpur Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3171706,Gorakhpur Airport,transportation,domestic-aviation
,,,,,,,,,,,,SpiceJet,E100002014928,3171706,Gorakhpur Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India Express,E100002014293,3171761,Gwalior Airport,transportation,domestic-aviation
,,,,,,,,,,,,Akasa Air,E100002014348,3171761,Gwalior Airport,transportation,domestic-aviation
,,,,,,,,,,,,Alliance Air,E100002014360,3171761,Gwalior Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3171761,Gwalior Airport,transportation,domestic-aviation
,,,,,,,,,,,,Star Air,E100002014935,40683259,Hindon Airport / Hindon Air Force Station,transportation,domestic-aviation
,,,,,,,,,,,,flybig,E100002014579,40683259,Hindon Airport / Hindon Air Force Station,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3171797,Hubli Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India,E100002014292,3172002,Imphal Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India Express,E100002014293,3172002,Imphal Airport,transportation,domestic-aviation
,,,,,,,,,,,,Alliance Air,E100002014360,3172002,Imphal Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3172002,Imphal Airport,transportation,domestic-aviation
,,,,,,,,,,,,flybig,E100002014579,3172002,Imphal Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India,E100002014292,3171231,Indira Gandhi International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India Express,E100002014293,3171231,Indira Gandhi International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Akasa Air,E100002014348,3171231,Indira Gandhi International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Alliance Air,E100002014360,3171231,Indira Gandhi International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Blue Dart,E100002014434,3171231,Indira Gandhi International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Corendon Airlines,E100002014505,3171231,Indira Gandhi International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Corendon Airlines Europe,E100002014506,3171231,Indira Gandhi International Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3171231,Indira Gandhi International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Quikjet Cargo Airlines,E100002019128,3171231,Indira Gandhi International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Red Wings Airlines,E100002014839,3171231,Indira Gandhi International Airport,transportation,domestic-aviation
,,,,,,,,,,,,SpiceJet,E100002014928,3171231,Indira Gandhi International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Vistara,E100002015043,3171231,Indira Gandhi International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Zooom,E100002019112,3171231,Indira Gandhi International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Alliance Air,E100002014360,3171825,Itanagar Donyi Polo Hollongi Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3171825,Itanagar Donyi Polo Hollongi Airport,transportation,domestic-aviation
,,,,,,,,,,,,flybig,E100002014579,3171825,Itanagar Donyi Polo Hollongi Airport,transportation,domestic-aviation
,,,,,,,,,,,,Alliance Air,E100002014360,3172167,Jabalpur Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3172167,Jabalpur Airport,transportation,domestic-aviation
,,,,,,,,,,,,SpiceJet,E100002014928,3172167,Jabalpur Airport,transportation,domestic-aviation
,,,,,,,,,,,,Alliance Air,E100002014360,3172136,Jagdalpur Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3172136,Jagdalpur Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India,E100002014292,3172105,Jaipur International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India Express,E100002014293,3172105,Jaipur International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Akasa Air,E100002014348,3172105,Jaipur International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Alliance Air,E100002014360,3172105,Jaipur International Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3172105,Jaipur International Airport,transportation,domestic-aviation
,,,,,,,,,,,,SpiceJet,E100002014928,3172105,Jaipur International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Star Air,E100002014935,3172105,Jaipur International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Vistara,E100002015043,3172105,Jaipur International Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3172198,Jaisalmer Airport,transportation,domestic-aviation
,,,,,,,,,,,,SpiceJet,E100002014928,3172198,Jaisalmer Airport,transportation,domestic-aviation
,,,,,,,,,,,,Alliance Air,E100002014360,39229310,Jalgaon Airport,transportation,domestic-aviation
,,,,,,,,,,,,Fly91,E100002019135,39229310,Jalgaon Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India,E100002014292,3172084,Jammu Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India Express,E100002014293,3172084,Jammu Airport,transportation,domestic-aviation
,,,,,,,,,,,,Alliance Air,E100002014360,3172084,Jammu Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3172084,Jammu Airport,transportation,domestic-aviation
,,,,,,,,,,,,SpiceJet,E100002014928,3172084,Jammu Airport,transportation,domestic-aviation
,,,,,,,,,,,,Vistara,E100002015043,3172084,Jammu Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India,E100002014292,3172135,Jamnagar Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India Express,E100002014293,3172135,Jamnagar Airport,transportation,domestic-aviation
,,,,,,,,,,,,Star Air,E100002014935,3172135,Jamnagar Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India,E100002014292,3173429,Jay Prakash Narayan Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3173429,Jay Prakash Narayan Airport,transportation,domestic-aviation
,,,,,,,,,,,,SpiceJet,E100002014928,3173429,Jay Prakash Narayan Airport,transportation,domestic-aviation
