parent_name,parent_entity_id,parent_entity_type,parent_lei,parent_permid,parent_registration_country,parent_headquarter_country,overall_share_percent,ownership_path,ownership_path_datasource_ids,immediate_source_owner,immediate_source_owner_entity_id,source_operator,source_operator_id,source_id,source_name,source_sector,source_subsector
Gujarat Mineral Development Co Ltd,E100001000669,legal entity,335800B8OP5L7DH9VD35,4295872462,IND,IND,,Gujarat Mineral Development Co Ltd -> Mothala-Balachod Mine [unknown %],,Gujarat Mineral Development Co Ltd,E100001000669,,,42233171,Mothala-Balachod Mine,mineral-extraction,bauxite-mining
natural person(s),E100000123261,person,not applicable,not applicable,,,,natural person(s)  -> Gujarat Mineral Development Co Ltd [18.22%] -> Mothala-Balachod Mine [unknown %],,Gujarat Mineral Development Co Ltd,E100001000669,,,42233171,Mothala-Balachod Mine,mineral-extraction,bauxite-mining
small shareholder(s),E100001015587,unknown entity,not applicable,not applicable,,,,small shareholder(s)  -> Gujarat Mineral Development Co Ltd [7.78%] -> Mothala-Balachod Mine [unknown %],,Gujarat Mineral Development Co Ltd,E100001000669,,,42233171,Mothala-Balachod Mine,mineral-extraction,bauxite-mining
natural person(s),E100000123261,person,not applicable,not applicable,,,,natural person(s)  -> Mungwari Mine [unknown %],,natural person(s),E100000123261,,,42233172,Mungwari Mine,mineral-extraction,bauxite-mining
natural person(s),E100000123261,person,not applicable,not applicable,,,,natural person(s)  -> Naikin Mine [unknown %],,natural person(s),E100000123261,,,42233173,Naikin Mine,mineral-extraction,bauxite-mining
natural person(s),E100000123261,person,not applicable,not applicable,,,,natural person(s)  -> Naikin-II Mine [unknown %],,natural person(s),E100000123261,,,42233174,Naikin-II Mine,mineral-extraction,bauxite-mining
natural person(s),E100000123261,person,not applicable,not applicable,,,,natural person(s)  -> Nana-Goniyasar Mine [unknown %],,natural person(s),E100000123261,,,42233175,Nana-Goniyasar Mine,mineral-extraction,bauxite-mining
Bombay Minerals Ltd,E100002011100,,,,,,,Bombay Minerals Ltd -> Nandana Mine [unknown %],,Bombay Minerals Ltd,E100002011100,,,42233176,Nandana Mine,mineral-extraction,bauxite-mining
natural person(s),E100000123261,person,not applicable,not applicable,,,,natural person(s)  -> Naredi-2 Mine [unknown %],,natural person(s),E100000123261,,,42233177,Naredi-2 Mine,mineral-extraction,bauxite-mining
natural person(s),E100000123261,person,not applicable,not applicable,,,,natural person(s)  -> Naredi-Nandra Mine [unknown %],,natural person(s),E100000123261,,,42233178,Naredi-Nandra Mine,mineral-extraction,bauxite-mining
MMP Singh,E100002011140,,,,,,,MMP Singh  -> Narma Mine [unknown %],,MMP Singh,E100002011140,,,42233179,Narma Mine,mineral-extraction,bauxite-mining
Imperial Mining Syndicate Ltd,E100002011141,,,,,,,Imperial Mining Syndicate Ltd -> Navadra Mine [unknown %],,Imperial Mining Syndicate Ltd,E100002011141,,,42233180,Navadra Mine,mineral-extraction,bauxite-mining
Orient Ceratech Ltd,E100002011101,,,,,,,Orient Ceratech Ltd -> OBM-II Mine [unknown %],,Orient Ceratech Ltd,E100002011101,,,42233181,OBM-II Mine,mineral-extraction,bauxite-mining
Orient Ceratech Ltd,E100002011101,,,,,,,Orient Ceratech Ltd -> OBM-V Mine [unknown %],,Orient Ceratech Ltd,E100002011101,,,42233182,OBM-V Mine,mineral-extraction,bauxite-mining
Government of India,E100001000397,state,,5000055448,,IND,,Government of India  -> Life Insurance Corporation of India Ltd [96.5%] -> Hindalco Industries Ltd [9.65%] -> Orsa Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233183,Orsa Mine,mineral-extraction,bauxite-mining
IGH Holdings Pvt Ltd,E100001010419,legal entity,335800E52FQAZNBKW310,5000932187,IND,IND,,IGH Holdings Pvt Ltd -> Hindalco Industries Ltd [15.58%] -> Orsa Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233183,Orsa Mine,mineral-extraction,bauxite-mining
Hindalco Industries Ltd,E100000120560,legal entity,335800KXLE5NO5B4GF90,4295873625,IND,IND,,Hindalco Industries Ltd -> Orsa Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233183,Orsa Mine,mineral-extraction,bauxite-mining
Life Insurance Corporation of India Ltd,E100001000520,legal entity,21380068NOA8WMH89Z35,4298477512,IND,IND,,Life Insurance Corporation of India Ltd -> Hindalco Industries Ltd [9.65%] -> Orsa Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233183,Orsa Mine,mineral-extraction,bauxite-mining
Birla Group Holdings Pvt Ltd,E100001010420,legal entity,335800ILCQTLE8K8I628,5000003697,IND,IND,,Birla Group Holdings Pvt Ltd -> Hindalco Industries Ltd [10.16%] -> Orsa Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233183,Orsa Mine,mineral-extraction,bauxite-mining
natural person(s),E100000123261,person,not applicable,not applicable,,,,natural person(s)  -> Hindalco Industries Ltd [5.16%] -> Orsa Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233183,Orsa Mine,mineral-extraction,bauxite-mining
